id,sex,вВ¶0,вВ¶50,вВ¶100,вВ¶200,вВ¶500,вВ¶1000,вВ¶2000,вВ¶5000,вВ¶10000,вВ¶20000,вВ¶50000
R001,Female,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
R002,Female,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
R003,Female,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
R004,Female,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
R005,Female,Yes,No,Yes,No,No,Yes,No,No,No,No,No
R006,Female,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
R007,Female,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No
R008,Female,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No
R009,Female,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
R010,Female,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
R011,Female,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No
R012,Female,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
R013,Female,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
R014,Female,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
R015,Female,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
R016,Female,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
R017,Female,Yes,Yes,No,No,No,Yes,No,No,No,No,No
R018,Female,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No
R019,Female,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
R020,Female,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
R021,Female,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No
R022,Female,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
R023,Female,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
R024,Female,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
R025,Female,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No
R026,Female,Yes,Yes,Yes,No,No,No,No,No,No,No,No
R027,Female,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
R028,Female,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
R029,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
R030,Female,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
R031,Female,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
R032,Female,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
R033,Female,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
R034,Female,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No
R035,Female,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
R036,Female,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
R037,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
R038,Female,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
R039,Female,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
R040,Female,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
R041,Female,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No
R042,Female,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
R043,Male,No,No,Yes,Yes,Yes,No,No,No,No,No,No
R044,Male,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
R045,Male,Yes,Yes,No,No,No,No,No,No,No,No,No
R046,Male,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
R047,Male,Yes,Yes,No,Yes,No,No,No,No,No,No,No
R048,Male,No,Yes,Yes,No,No,No,Yes,No,No,No,No
R049,Male,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
R050,Male,Yes,No,Yes,Yes,No,No,No,No,No,No,No
R051,Male,Yes,No,No,No,No,No,No,No,No,No,No
R052,Male,Yes,No,Yes,No,No,No,No,No,No,No,No
R053,Male,No,Yes,No,No,No,No,No,No,No,No,No
R054,Male,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No
R055,Male,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
R056,Male,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
R057,Male,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
R058,Male,Yes,Yes,Yes,No,No,No,No,No,No,No,No
R059,Male,Yes,Yes,No,No,No,No,No,No,No,No,No
R060,Male,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No
R061,Male,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
R062,Male,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
R063,Male,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
R064,Male,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No
R065,Male,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
R066,Male,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
R067,Male,No,No,Yes,Yes,No,No,No,No,No,No,No
R068,Male,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
R069,Male,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
R070,Male,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
R071,Male,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
R072,Male,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
R073,Male,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No
R074,Male,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
R075,Male,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
R076,Male,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
R077,Male,Yes,Yes,No,No,No,No,No,No,No,No,No
R078,Male,Yes,Yes,No,No,No,No,No,No,No,No,No
R079,Male,Yes,Yes,Yes,No,No,No,No,No,No,No,No
R080,Male,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
